Scope
Manufacturer	Model
Propellerhead Software	se.propellerheads.Algoritm

Status	Remotable	Min	Max	Input type	Output type
[X]	Level 1	0	4194304	Value	ValueOutput
[X]	Level 2	0	4194304	Value	ValueOutput
[X]	Level 3	0	4194304	Value	ValueOutput
[X]	Level 4	0	4194304	Value	ValueOutput
[X]	Level 5	0	4194304	Value	ValueOutput
[X]	Level 6	0	4194304	Value	ValueOutput
[X]	Level 7	0	4194304	Value	ValueOutput
[X]	Level 8	0	4194304	Value	ValueOutput
[X]	Level 9	0	4194304	Value	ValueOutput

[X]	Vel 1	0	4194304	Value	ValueOutput
[X]	Vel 2	0	4194304	Value	ValueOutput
[X]	Vel 3	0	4194304	Value	ValueOutput
[X]	Vel 4	0	4194304	Value	ValueOutput
[X]	Vel 5	0	4194304	Value	ValueOutput
[X]	Vel 6	0	4194304	Value	ValueOutput
[X]	Vel 7	0	4194304	Value	ValueOutput
[X]	Vel 8	0	4194304	Value	ValueOutput
[X]	Vel 9	0	4194304	Value	ValueOutput

[X]	Freq 1	0	6400	Value	ValueOutput
[X]	Freq 2	0	6400	Value	ValueOutput
[X]	Freq 3	0	6400	Value	ValueOutput
[X]	Freq 4	0	6400	Value	ValueOutput
[X]	Freq 5	0	6400	Value	ValueOutput
[X]	Freq 6	0	6400	Value	ValueOutput
[X]	Freq 7	0	6400	Value	ValueOutput
[X]	Freq 8	0	6400	Value	ValueOutput
[X]	Freq 9	0	6400	Value	ValueOutput

[X]	Tune 1	0	100	Value	ValueOutput
[X]	Tune 2	0	100	Value	ValueOutput
[X]	Tune 3	0	100	Value	ValueOutput
[X]	Tune 4	0	100	Value	ValueOutput
[X]	Tune 5	0	100	Value	ValueOutput
[X]	Tune 6	0	100	Value	ValueOutput
[X]	Tune 7	0	100	Value	ValueOutput
[X]	Tune 8	0	100	Value	ValueOutput
[X]	Tune 9	0	100	Value	ValueOutput

[X]	Pan 1	0	4194304	Value	ValueOutput
[X]	Pan 2	0	4194304	Value	ValueOutput
[X]	Pan 3	0	4194304	Value	ValueOutput
[X]	Pan 4	0	4194304	Value	ValueOutput
[X]	Pan 5	0	4194304	Value	ValueOutput
[X]	Pan 6	0	4194304	Value	ValueOutput
[X]	Pan 7	0	4194304	Value	ValueOutput
[X]	Pan 8	0	4194304	Value	ValueOutput
[X]	Pan 9	0	4194304	Value	ValueOutput

[X]	Filter Env 1	0	4194304	Value	ValueOutput
[X]	Filter Env 2	0	4194304	Value	ValueOutput
[X]	Filter Env 3	0	4194304	Value	ValueOutput
[X]	Filter Env 4	0	4194304	Value	ValueOutput
[X]	Filter Env 5	0	4194304	Value	ValueOutput
[X]	Filter Env 6	0	4194304	Value	ValueOutput
[X]	Filter Env 7	0	4194304	Value	ValueOutput
[X]	Filter Env 8	0	4194304	Value	ValueOutput
[X]	Filter Env 9	0	4194304	Value	ValueOutput

[X]	Reso 1	0	4194304	Value	ValueOutput
[X]	Reso 2	0	4194304	Value	ValueOutput
[X]	Reso 3	0	4194304	Value	ValueOutput
[X]	Reso 4	0	4194304	Value	ValueOutput
[X]	Reso 5	0	4194304	Value	ValueOutput
[X]	Reso 6	0	4194304	Value	ValueOutput
[X]	Reso 7	0	4194304	Value	ValueOutput
[X]	Reso 8	0	4194304	Value	ValueOutput
[X]	Reso 9	0	4194304	Value	ValueOutput

[X]	Drive 1	0	4194304	Value	ValueOutput
[X]	Drive 2	0	4194304	Value	ValueOutput
[X]	Drive 3	0	4194304	Value	ValueOutput
[X]	Drive 4	0	4194304	Value	ValueOutput
[X]	Drive 5	0	4194304	Value	ValueOutput
[X]	Drive 6	0	4194304	Value	ValueOutput
[X]	Drive 7	0	4194304	Value	ValueOutput
[X]	Drive 8	0	4194304	Value	ValueOutput
[X]	Drive 9	0	4194304	Value	ValueOutput

[X]	ShaperMix 1	0	4194304	Value	ValueOutput
[X]	ShaperMix 2	0	4194304	Value	ValueOutput
[X]	ShaperMix 3	0	4194304	Value	ValueOutput
[X]	ShaperMix 4	0	4194304	Value	ValueOutput
[X]	ShaperMix 5	0	4194304	Value	ValueOutput
[X]	ShaperMix 6	0	4194304	Value	ValueOutput
[X]	ShaperMix 7	0	4194304	Value	ValueOutput
[X]	ShaperMix 8	0	4194304	Value	ValueOutput
[X]	ShaperMix 9	0	4194304	Value	ValueOutput

[X]	Symmetry 1	0	4194304	Value	ValueOutput
[X]	Symmetry 2	0	4194304	Value	ValueOutput
[X]	Symmetry 3	0	4194304	Value	ValueOutput
[X]	Symmetry 4	0	4194304	Value	ValueOutput
[X]	Symmetry 5	0	4194304	Value	ValueOutput
[X]	Symmetry 6	0	4194304	Value	ValueOutput
[X]	Symmetry 7	0	4194304	Value	ValueOutput
[X]	Symmetry 8	0	4194304	Value	ValueOutput
[X]	Symmetry 9	0	4194304	Value	ValueOutput

[X]	Wave Mod 1	0	4194304	Value	ValueOutput
[X]	Wave Mod 2	0	4194304	Value	ValueOutput
[X]	Wave Mod 3	0	4194304	Value	ValueOutput
[X]	Wave Mod 4	0	4194304	Value	ValueOutput
[X]	Wave Mod 5	0	4194304	Value	ValueOutput
[X]	Wave Mod 6	0	4194304	Value	ValueOutput
[X]	Wave Mod 7	0	4194304	Value	ValueOutput
[X]	Wave Mod 8	0	4194304	Value	ValueOutput
[X]	Wave Mod 9	0	4194304	Value	ValueOutput

[X]	Attack 1	0	4194304	Value	ValueOutput
[X]	Attack 2	0	4194304	Value	ValueOutput
[X]	Attack 3	0	4194304	Value	ValueOutput
[X]	Attack 4	0	4194304	Value	ValueOutput
[X]	Attack 5	0	4194304	Value	ValueOutput
[X]	Attack 6	0	4194304	Value	ValueOutput
[X]	Attack 7	0	4194304	Value	ValueOutput
[X]	Attack 8	0	4194304	Value	ValueOutput
[X]	Attack 9	0	4194304	Value	ValueOutput

[X]	Decay 1	0	4194304	Value	ValueOutput
[X]	Decay 2	0	4194304	Value	ValueOutput
[X]	Decay 3	0	4194304	Value	ValueOutput
[X]	Decay 4	0	4194304	Value	ValueOutput
[X]	Decay 5	0	4194304	Value	ValueOutput
[X]	Decay 6	0	4194304	Value	ValueOutput
[X]	Decay 7	0	4194304	Value	ValueOutput
[X]	Decay 8	0	4194304	Value	ValueOutput
[X]	Decay 9	0	4194304	Value	ValueOutput

[X]	Sustain 1	0	4194304	Value	ValueOutput
[X]	Sustain 2	0	4194304	Value	ValueOutput
[X]	Sustain 3	0	4194304	Value	ValueOutput
[X]	Sustain 4	0	4194304	Value	ValueOutput
[X]	Sustain 5	0	4194304	Value	ValueOutput
[X]	Sustain 6	0	4194304	Value	ValueOutput
[X]	Sustain 7	0	4194304	Value	ValueOutput
[X]	Sustain 8	0	4194304	Value	ValueOutput
[X]	Sustain 9	0	4194304	Value	ValueOutput

[X]	Release 1	0	4194304	Value	ValueOutput
[X]	Release 2	0	4194304	Value	ValueOutput
[X]	Release 3	0	4194304	Value	ValueOutput
[X]	Release 4	0	4194304	Value	ValueOutput
[X]	Release 5	0	4194304	Value	ValueOutput
[X]	Release 6	0	4194304	Value	ValueOutput
[X]	Release 7	0	4194304	Value	ValueOutput
[X]	Release 8	0	4194304	Value	ValueOutput
[X]	Release 9	0	4194304	Value	ValueOutput

[X]	Mode1	0	4	Value	ValueOutput
[X]	Mode2	0	4	Value	ValueOutput
[X]	Mode3	0	4	Value	ValueOutput
[X]	Mode4	0	4	Value	ValueOutput
[X]	Mode5	0	4	Value	ValueOutput
[X]	Mode6	0	4	Value	ValueOutput
[X]	Mode7	0	4	Value	ValueOutput
[X]	Mode8	0	4	Value	ValueOutput
[X]	Mode9	0	4	Value	ValueOutput

[X]	Out 1	0	1	Toggle	ValueOutput
[X]	Out 2	0	1	Toggle	ValueOutput
[X]	Out 3	0	1	Toggle	ValueOutput
[X]	Out 4	0	1	Toggle	ValueOutput
[X]	Out 5	0	1	Toggle	ValueOutput
[X]	Out 6	0	1	Toggle	ValueOutput
[X]	Out 7	0	1	Toggle	ValueOutput
[X]	Out 8	0	1	Toggle	ValueOutput
[X]	Out 9	0	1	Toggle	ValueOutput

[X]	Comp Attack	0	4194304	Value	ValueOutput
[X]	Comp On	0	1	Toggle	ValueOutput
[X]	Comp Ratio	0	4194304	Value	ValueOutput
[X]	Comp Release	0	4194304	Value	ValueOutput
[X]	Comp Threshold	0	4194304	Value	ValueOutput

[X]	Delay Amount	0	4194304	Value	ValueOutput
[X]	Delay Feedback	0	4194304	Value	ValueOutput
[X]	Delay On	0	1	Toggle	ValueOutput
[X]	Delay Pan	0	4194304	Value	ValueOutput
[X]	Delay PingPong	0	1	Toggle	ValueOutput
[X]	Delay Sync	0	1	Toggle	ValueOutput
[X]	Delay Synced Time	0	10	Value	ValueOutput
[X]	Delay Time	0	4194304	Value	ValueOutput

[X]	Dist Amount	0	4194304	Value	ValueOutput
[X]	Dist Drive	0	4194304	Value	ValueOutput
[X]	Dist On	0	1	Toggle	ValueOutput
[X]	Dist Tone	0	4194304	Value	ValueOutput
[X]	Dist Type	0	5	Value	ValueOutput

[X]	EQ Freq	0	4194304	Value	ValueOutput
[X]	EQ Gain	0	4194304	Value	ValueOutput
[X]	EQ Hi Gain	0	4194304	Value	ValueOutput
